GroupID,Loại,Cung địa chi,Chính Tinh,Chính Tinh Đối Cung,Chính Tinh Nhị Hợp,Lá tại Tý,Chính tinh tam hợp,Chính tinh tam hợp
5,Tử Tướng Thìn Tuất,Thìn,Vô Chính Diệu,Tử Vi,Thiên Cơ,,Vô Chính Diệu,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Thìn,Phá Quân,Thiên Tướng,Cự Môn,,Tham Lang,Thất Sát
5,Tử Tướng Thìn Tuất,Tỵ,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Thiên Cơ,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Tỵ,Thiên Đồng,Thiên Lương,Tham Lang,,Cự Môn,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Ngọ,Vũ Khúc,Vô Chính Diệu,Thái Dương,,Tử Vi,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Ngọ,Thiên Phủ,Thất Sát,Thái Âm,,Thiên Tướng,Liêm Trinh
5,Tử Tướng Thìn Tuất,Mùi,Thái Dương,Vô Chính Diệu,Vũ Khúc,,Vô Chính Diệu,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Mùi,Thái Âm,Vô Chính Diệu,Thiên Phủ,,Thiên Lương,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Thân,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Thân,Tham Lang,Liêm Trinh,Thiên Đồng,,Thất Sát,Phá Quân
5,Tử Tướng Thìn Tuất,Dậu,Thiên Cơ,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
5,Tử Tướng Thìn Tuất,Dậu,Cự Môn,Vô Chính Diệu,Phá Quân,,Vô Chính Diệu,Thiên Đồng
5,Tử Tướng Thìn Tuất,Tuất,Tử Vi,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vũ Khúc
5,Tử Tướng Thìn Tuất,Tuất,Thiên Tướng,Phá Quân,Vô Chính Diệu,,Liêm Trinh,Thiên Phủ
5,Tử Tướng Thìn Tuất,Hợi,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Thái Dương
5,Tử Tướng Thìn Tuất,Hợi,Thiên Lương,Thiên Đồng,Liêm Trinh,,Vô Chính Diệu,Thái Âm
6,Tử Tướng Thìn Tuất,Ngọ,Vô Chính Diệu,Vũ Khúc,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Ngọ,Thất Sát,Thiên Phủ,Vô Chính Diệu,,Phá Quân,Tham Lang
6,Tử Tướng Thìn Tuất,Mùi,Vô Chính Diệu,Thái Dương,Vô Chính Diệu,,Vô Chính Diệu,Thiên Cơ
6,Tử Tướng Thìn Tuất,Mùi,Vô Chính Diệu,Thái Âm,Thất Sát,,Thiên Đồng,Cự Môn
6,Tử Tướng Thìn Tuất,Thân,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vũ Khúc,Tử Vi
6,Tử Tướng Thìn Tuất,Thân,Liêm Trinh,Tham Lang,Thiên Lương,,Thiên Phủ,Thiên Tướng
6,Tử Tướng Thìn Tuất,Dậu,Vô Chính Diệu,Thiên Cơ,Tử Vi,,Thái Dương,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Dậu,Vô Chính Diệu,Cự Môn,Thiên Tướng,,Thái Âm,Thiên Lương
6,Tử Tướng Thìn Tuất,Tuất,Vô Chính Diệu,Tử Vi,Thiên Cơ,,Vô Chính Diệu,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Tuất,Phá Quân,Thiên Tướng,Cự Môn,,Tham Lang,Thất Sát
6,Tử Tướng Thìn Tuất,Hợi,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Thiên Cơ,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Hợi,Thiên Đồng,Thiên Lương,Tham Lang,,Cự Môn,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Tý,Vũ Khúc,Vô Chính Diệu,Thái Dương,Thiên Phủ|Vũ Khúc,Tử Vi,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Tý,Thiên Phủ,Thất Sát,Thái Âm,Thiên Phủ|Vũ Khúc,Thiên Tướng,Liêm Trinh
6,Tử Tướng Thìn Tuất,Sửu,Thái Dương,Vô Chính Diệu,Vũ Khúc,,Vô Chính Diệu,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Sửu,Thái Âm,Vô Chính Diệu,Thiên Phủ,,Thiên Lương,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Dần,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Dần,Tham Lang,Liêm Trinh,Thiên Đồng,,Thất Sát,Phá Quân
6,Tử Tướng Thìn Tuất,Mão,Thiên Cơ,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
6,Tử Tướng Thìn Tuất,Mão,Cự Môn,Vô Chính Diệu,Phá Quân,,Vô Chính Diệu,Thiên Đồng
6,Tử Tướng Thìn Tuất,Thìn,Tử Vi,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Vũ Khúc
6,Tử Tướng Thìn Tuất,Thìn,Thiên Tướng,Phá Quân,Vô Chính Diệu,,Liêm Trinh,Thiên Phủ
6,Tử Tướng Thìn Tuất,Tỵ,Vô Chính Diệu,Vô Chính Diệu,Vô Chính Diệu,,Vô Chính Diệu,Thái Dương
6,Tử Tướng Thìn Tuất,Tỵ,Thiên Lương,Thiên Đồng,Liêm Trinh,,Vô Chính Diệu,Thái Âm
7,Tử Sát Tỵ Hợi,Tý,Vô Chính Diệu,Thiên Đồng,Vô Chính Diệu,Vô Chính Diệu|Vô Chính Diệu,Vô Chính Diệu,Thái Dương
7,Tử Sát Tỵ Hợi,Tý,Vô Chính Diệu,Thái Âm,Vô Chính Diệu,Vô Chính Diệu|Vô Chính Diệu,Vô Chính Diệu,Cự Môn
7,Tử Sát Tỵ Hợi,Sửu,Vô Chính Diệu,Vũ Khúc,Vô Chính Diệu,,Vô Chính Diệu,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Sửu,Vô Chính Diệu,Tham Lang,Vô Chính Diệu,,Thiên Phủ,Thiên Tướng
7,Tử Sát Tỵ Hợi,Dần,Vô Chính Diệu,Thái Dương,Tử Vi,,Thiên Đồng,Thiên Cơ
7,Tử Sát Tỵ Hợi,Dần,Vô Chính Diệu,Cự Môn,Thất Sát,,Thái Âm,Thiên Lương
7,Tử Sát Tỵ Hợi,Mão,Liêm Trinh,Vô Chính Diệu,Thiên Cơ,,Vũ Khúc,Tử Vi
7,Tử Sát Tỵ Hợi,Mão,Phá Quân,Thiên Tướng,Thiên Lương,,Tham Lang,Thất Sát
7,Tử Sát Tỵ Hợi,Thìn,Vô Chính Diệu,Thiên Cơ,Vô Chính Diệu,,Thái Dương,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Thìn,Vô Chính Diệu,Thiên Lương,Thiên Tướng,,Cự Môn,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Tỵ,Vô Chính Diệu,Tử Vi,Thái Dương,,Vô Chính Diệu,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Tỵ,Thiên Phủ,Thất Sát,Cự Môn,,Thiên Tướng,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Ngọ,Thiên Đồng,Vô Chính Diệu,Vũ Khúc,,Thiên Cơ,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Ngọ,Thái Âm,Vô Chính Diệu,Tham Lang,,Thiên Lương,Vô Chính Diệu
7,Tử Sát Tỵ Hợi,Mùi,Vũ Khúc,Vô Chính Diệu,Thiên Đồng,,Tử Vi,Liêm Trinh
7,Tử Sát Tỵ Hợi,Mùi,Tham Lang,Vô Chính Diệu,Thái Âm,,Thất Sát,Phá Quân
